"","unit,indic_eu,geo\time","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","TARGET"
"1","PC,T2020_31,AL","29.62","31.367","32.07","32.657","32.448","31.437","31.867","31.187","35.152","33.167","31.476","34.387","35.487","34.465","34.865",":"
"2","PC,T2020_31,AT","22.554","24.378","26.34","28.179","28.856","31.02","31.199","31.563","32.678","32.77","33.653","33.542","33.365","33.144","33.426","34"
"3","PC,T2020_31,BE","1.89","2.332","2.633","3.101","3.59","4.715","5.643","6.29","7.18","7.515","8.032","8.003","8.712","9.064","9.423","13"
"4","PC,T2020_31,BG","9.231","9.173","9.415","9.098","10.345","12.005","13.927","14.152","15.837","18.898","18.05","18.261","18.76","18.701","20.528","16"
"5","PC,T2020_31,CY","3.071","3.131","3.263","4.004","5.134","5.925","6.173","6.261","7.137","8.456","9.172","9.929","9.859","10.491","13.882","13"
"6","PC,T2020_31,CZ","6.774","7.115","7.363","7.895","8.674","9.978","10.514","10.945","12.816","13.931","15.078","15.073","14.93","14.803","15.15","13"
"7","PC,T2020_31,DE","6.211","7.175","8.477","10.054","10.088","10.87","11.686","12.47","13.555","13.766","14.386","14.901","14.885","15.472","16.481","18"
"8","PC,T2020_31,DK","14.84","15.955","16.335","17.748","18.545","19.95","21.889","23.388","25.466","27.174","29.31","30.835","31.837","34.72","35.708","30"
"9","PC,T2020_31,EE","18.384","17.421","15.965","17.046","18.643","22.931","24.574","25.345","25.524","25.324","26.145","28.228","28.684","29.127","29.996","25"
"10","PC,T2020_31,EL","7.161","7.277","7.458","8.249","8.183","8.731","10.077","11.153","13.741","15.326","15.683","15.69","15.39","16.951","18.002","18"
"11","PC,T2020_31,ES","8.326","8.43","9.142","9.655","10.737","12.963","13.81","13.223","14.287","15.319","16.125","16.228","17.427","17.563","17.453","20"
"12","PC,T2020_31,EU27_2007",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":","20"
"13","PC,T2020_31,EU27_2020","9.62","10.239","10.843","11.866","12.564","13.88","14.428","14.587","16.063","16.711","17.482","17.849","18.048","18.471","18.881",":"
"14","PC,T2020_31,EU28","8.524","9.107","9.685","10.616","11.368","12.622","13.158","13.411","14.69","15.378","16.219","16.732","16.995","17.473","17.977","20"
"15","PC,T2020_31,FI","29.251","28.831","30.061","29.576","31.362","31.343","32.441","32.788","34.434","36.73","38.78","39.32","39.011","40.917","41.162","38"
"16","PC,T2020_31,FR","9.507","9.598","9.336","10.241","11.187","12.216","12.672","11.016","13.437","14.043","14.581","15.012","15.68","16.011","16.593","23"
"17","PC,T2020_31,HR","23.404","23.691","22.668","22.161","21.986","23.597","25.103","25.389","26.757","28.04","27.817","28.969","28.267","27.28","28.024","20"
"18","PC,T2020_31,HU","4.364","6.931","7.433","8.575","8.564","11.673","12.742","13.972","15.53","16.205","14.618","14.495","14.315","13.517","12.489","13"
"19","PC,T2020_31,IE","2.366","2.812","3.03","3.455","3.929","5.177","5.707","6.646","7.054","7.618","8.598","9.108","9.258","10.588","11.061","16"
"20","PC,T2020_31,IS","58.899","60.27","60.921","71.417","67.348","69.593","70.267","71.476","72.394","71.66","70.484","70.261","70.175","70.691","72.182",":"
"21","PC,T2020_31,IT","6.316","7.549","8.328","9.807","11.492","12.775","13.023","12.881","15.441","16.741","17.082","17.525","17.415","18.267","17.775","17"
"22","PC,T2020_31,LT","17.223","16.769","16.889","16.483","17.824","19.798","19.64","19.945","21.437","22.689","23.593","25.751","25.614","26.039","24.448","23"
"23","PC,T2020_31,LU","0.9","1.404","1.471","2.729","2.815","2.94","2.864","2.874","3.14","3.531","4.512","5.05","5.44","6.286","9.059","11"
"24","PC,T2020_31,LV","32.794","32.264","31.141","29.615","29.811","34.317","30.375","33.478","35.709","37.037","38.629","37.538","37.138","39.019","40.292","40"
"25","PC,T2020_31,ME",":","35.906","35.003","33.146","32.486","39.464","40.663","40.67","41.531","43.735","44.111","43.089","41.558","39.708","38.807",":"
"26","PC,T2020_31,MK","15.702","16.466","16.527","14.976","15.555","17.238","16.451","16.407","18.128","18.509","19.559","19.527","18.044","19.636","18.118",":"
"27","PC,T2020_31,MT","0.102","0.123","0.149","0.177","0.195","0.221","0.979","1.85","2.862","3.76","4.744","5.119","6.208","7.27","7.978","10"
"28","PC,T2020_31,NL","2.03","2.478","2.778","3.298","3.596","4.266","3.917","4.524","4.659","4.691","5.415","5.657","5.827","6.461","7.385","14"
"29","PC,T2020_31,NO","58.444","60.105","60.568","60.439","62.053","65.131","61.515","64.702","65.55","66.746","69.19","69.193","70.163","71.647","72.752",":"
"30","PC,T2020_31,PL","6.914","6.9","6.888","6.93","7.713","8.661","9.253","10.295","10.897","11.368","11.495","11.743","11.267","10.964","11.284","15"
"31","PC,T2020_31,PT","19.209","19.526","20.786","21.924","22.943","24.421","24.165","24.616","24.579","25.7","29.508","30.514","30.865","30.611","30.322","31"
"32","PC,T2020_31,RO","16.811","17.571","17.096","18.195","20.204","22.157","22.834","21.186","22.825","23.886","24.845","24.785","25.032","24.454","23.875","24"
"33","PC,T2020_31,RS","12.724","14.257","14.542","14.327","15.888","21.024","19.763","19.118","20.79","21.095","22.864","21.989","21.147","20.287","20.32",":"
"34","PC,T2020_31,SE","38.677","40.72","42.447","43.929","44.666","47.88","46.958","48.245","50.23","50.8","51.874","53.009","53.371","54.201","54.645","49"
"35","PC,T2020_31,SI","16.134","16.002","15.586","15.609","14.995","20.147","20.42","20.257","20.818","22.407","21.539","21.894","21.293","21.056","21.149","25"
"36","PC,T2020_31,SK","6.391","6.36","6.584","7.766","7.723","9.368","9.099","10.348","10.453","10.133","11.713","12.882","12.029","11.465","11.896","14"
"37","PC,T2020_31,TR","16.151","15.521","14.051","13.206","13.529","14.086","14.013","12.823","13.207","13.91","13.596","13.602","13.741","12.766","13.659",":"
"38","PC,T2020_31,UK","0.907","1.116","1.337","1.603","2.693","3.342","3.782","4.32","4.41","5.498","6.737","8.337","8.981","9.731","11.017","15"
"39","PC,T2020_31,XK","20.541","19.773","19.511","18.812","18.429","18.23","18.23","17.598","18.625","18.624","19.544","18.484","24.472","23.082","24.896",":"
